# host_unix_ns,fpga_counter_us
1786644631689249000,150660
1786644632709064500,1180305
1786644633733536500,2190170
1786644634752802000,3209602
1786644635813823500,4269790
1786644636838687500,5300689
1786644637858774500,6319598
1786644638879354000,7339709
1786644639908977000,8369524
1786644640944174500,9399664
1786644641963683000,10419619
1786644643058725500,11520053
1786644644088958500,12559755
1786644645103656500,13559891
1786644646123570500,14589979
1786644647138909000,15599958
1786644648170318500,16630171
1786644649218849000,17671028
1786644650275408500,18740231
1786644651293931000,19759873
1786644652330741500,20781664
1786644653360851500,21820828
1786644654403977000,22860502
1786644655438932000,23899810
1786644656448981000,24919954
1786644657523951000,25980417
1786644658553982500,27019830
1786644659585633000,28040363
1786644660619934000,29089267
1786644661655565500,30111435
1786644662695986000,31150605
1786644663730037500,32189663
1786644664753852000,33219690
1786644665765033500,34229936
1786644666791230000,35250092
1786644667829483000,36291059
1786644668873681500,37349943
1786644669873618000,38329870
1786644670913694500,39359253
1786644671938712500,40399104
1786644672958914500,41419763
1786644674092354500,42502760
1786644675241623000,43702207
1786644676270083000,44719817
1786644677304247000,45761838
1786644678345685000,46814830
1786644679406220000,47876297
1786644680444769500,48914189
1786644681469269000,49939233
1786644682443740000,50919152
1786644683423837000,51879621
1786644684438970000,52899713
1786644685473970500,53962130
1786644686501620500,54959743
1786644687529102000,55990037
1786644688543782000,56999654
1786644689559271000,58029798
1786644690578997000,59039653
1786644691589523500,60059303
1786644692619078000,61054901
1786644693673819000,62139305
1786644694688900500,63153091
1786644695714048500,64179536
1786644696756530500,65209398
1786644697789307500,66249624
1786644698808993500,67270958
1786644699854284000,68341388
1786644700898939500,69359591
1786644701924419500,70399764
1786644702938866500,71409621
1786644703939960000,72399646
1786644704953383500,73409700
1786644705968418500,74419635
1786644707003634500,75489135
1786644708038519000,76499770
1786644709054175000,77519019
1786644710073489000,78529157
1786644711099104000,79559852
1786644712108659500,80569366
1786644713084790500,81548962
1786644714119458500,82609588
1786644715178180500,83629706
1786644716183541500,84649347
1786644717168322000,85629457
1786644718186758500,86659372
1786644719189840500,87649680
1786644720209248500,88669731
1786644721239060000,89715186
1786644722269201000,90719304
1786644723289518500,91749504
1786644724298763000,92779566
1786644725293443500,93759284
1786644726303555500,94759829
1786644727328867500,95790310
1786644728373688000,96865241
1786644729418783000,97869282
1786644730589643500,99004874
1786644731966474500,100399436
1786644733350608000,101765971
1786644734789995500,103226877
