# host_unix_ns,fpga_counter_us
1786046396972790500,159745
1786046397996797500,1178922
1786046399046368000,2199579
1786046400095602500,3278850
1786046401121352500,4312568
1786046402131061000,5319214
1786046403156195500,6338810
1786046404130672500,7329215
1786046405136010000,8319080
1786046406176157000,9340053
1786046407200518500,10389078
1786046408206352000,11389066
1786046409226424500,12418404
1786046410251216000,13439843
1786046411288740000,14482933
1786046412291944500,15479299
1786046413351485500,16499764
1786046414406132500,17599261
1786046415425618000,18620626
1786046416415780500,19608733
1786046417431866000,20619012
1786046418461364000,21650112
1786046419477313000,22658864
1786046420500978000,23650291
1786046421541310500,24729757
1786046422567107000,25759601
1786046423581399500,26769301
1786046424611176500,27799052
1786046425637304500,28828950
1786046426661461000,29858901
1786046427716519500,30928981
1786046428791195000,31978650
1786046429811877000,32999176
1786046430840792000,34029462
1786046431844045000,35048504
1786046432835630500,36028598
1786046433835997000,37019405
1786046434886308000,38099155
1786046435925955500,39118705
1786046436943981000,40128581
1786046437965839000,41158299
1786046438991401000,42178759
1786046440007086000,43188754
1786046441031155000,44218503
1786046442143916500,45330284
1786046443161169500,46348444
1786046444176373500,47359326
1786046445185863500,48368693
1786046446181269000,49368757
1786046447181374500,50369405
1786046448208761000,51388851
1786046449261139500,52448600
1786046450260738000,53438728
1786046451295936000,54468572
1786046452321734500,55508746
1786046453355740000,56538890
1786046454400799000,57588969
1786046455410857000,58599303
1786046456449142500,59628724
1786046457480877000,60679215
1786046458501106500,61688684
1786046459540865500,62729178
1786046460575101500,63768501
1786046461602220500,64788995
1786046462622350500,65818491
1786046463661159500,66858709
1786046464661022000,67848745
1786046465666853500,68849000
1786046466651283000,69848498
1786046467656308000,70838775
1786046468676448000,71868418
1786046469711029500,72898933
1786046470786434000,73978589
1786046471811036000,74998899
1786046472841793500,76028892
1786046473882040500,77068732
1786046474931250500,78121160
1786046475956836500,79140586
1786046476991361500,80168316
1786046478066192000,81249016
1786046479091450000,82279880
1786046480130977000,83318643
1786046481166320000,84358785
1786046482183861500,85367869
1786046483215955500,86399008
1786046484213332000,87400306
1786046485275706500,88469122
1786046486300886500,89489084
1786046487320832000,90518385
1786046488340751500,91518986
1786046489361268500,92548654
1786046490370415500,93558576
1786046491361045500,94548310
1786046492425653500,95608518
1786046493451594000,96638916
1786046494450928000,97642280
1786046495481181500,98678622
1786046496502381000,99698954
1786046497511193000,100710389
1786046498510842500,101689341
1786046499581757000,102768665
1786046500610871500,103798961
1786046501631075500,104818718
1786046502777302500,105914287
1786046504066579000,107218159
1786046505196583500,108388561
1786046506246734000,109418836
1786046507285882000,110468490
1786046508291557500,111478696
1786046509281250500,112467972
1786046510275622000,113469605
1786046511265953000,114438847
1786046512260623000,115448882
1786046513295730000,116448507
1786046514461777000,117528379
1786046516434619500,119322702
1786046518288409000,121468800
1786046519322101000,122509184
1786046520389417000,123548436
1786046521441142500,124628797
1786046522460669500,125658458
1786046523475999500,126668368
1786046524511271000,127698096
1786046525542435000,128728322
1786046526576450500,129758916
1786046527616883500,130798534
1786046528682131000,131858976
1786046529721349500,132908689
1786046530751373500,133938696
1786046531788489500,134978676
1786046532813232000,136001157
1786046533841521500,137038200
1786046534882281500,138040887
1786046535927056000,139128354
1786046536926345000,140118827
1786046537965336000,141149037
1786046538988156500,142178603
1786046539991362000,143178398
1786046541026230000,144218491
1786046542077501000,145282624
1786046543121618000,146309149
1786046544158051000,147338015
1786046545256258000,148428327
1786046546311463000,149498262
1786046547331526000,150518387
1786046548351753500,151538655
1786046549402214000,152588282
1786046550431381000,153608552
1786046551481860000,154668379
1786046552511617000,155698332
1786046553551456000,156738152
1786046554576116000,157767365
1786046555575755500,158767708
1786046556631728000,159818102
1786046557661254500,160848581
1786046558671283000,161858647
1786046559680981500,162868542
1786046560676288000,163868375
1786046561676177000,164868238
1786046562691642000,165888533
1786046564906566500,167928418
1786046566701262000,169888084
1786046567736156000,170919960
1786046568756655000,171938137
1786046569781494000,172958596
1786046570854536500,174038345
1786046571891101000,175078521
1786046572936716500,176128509
1786046573951572500,177138635
1786046575017328000,178167705
1786046576117074500,179308172
1786046577161261500,180348391
1786046578246697000,181428683
1786046579282274000,182468399
1786046580331767500,183518562
1786046581361537500,184548301
1786046582387701500,185568442
1786046583426306500,186618614
1786046584452739000,187639133
1786046585483124000,188670780
1786046586491475000,189678468
1786046587501965500,190689642
1786046588516535500,191698567
1786046589543393000,192729006
1786046590573157500,193748330
1786046592114656500,195147816
1786046594447934500,197647958
1786046595735928000,198888339
1786046596826527500,199998842
1786046597851735500,201030873
1786046598876338500,202068231
1786046599946480500,203128341
1786046600978351000,204168171
1786046602001772000,205188282
1786046603032349500,206218350
1786046604062042500,207228272
1786046605112397000,208302043
1786046606171871500,209328495
1786046607226020500,210408438
1786046608241735000,211428621
1786046609276868000,212470582
1786046610312278000,213498321
1786046611321858000,214508206
1786046612341837000,215527988
1786046613401579000,216568433
1786046614426694000,217608350
1786046615452085500,218638410
1786046616506167000,219658540
1786046617600054500,220778137
1786046618627680000,221818415
1786046619631595500,222818249
1786046620679806000,223838278
1786046621723222000,224908155
1786046622741718000,225928372
1786046623756733500,226948467
1786046624762404000,227947853
1786046625781916000,228978221
1786046626796734500,229988371
1786046627837064500,230998225
1786046628871826000,232058386
1786046629882683500,233068392
1786046630916969500,234108345
1786046631951673500,235137918
1786046632971752000,236158801
1786046633986881000,237178505
1786046635031380500,238230958
1786046636078714000,239268063
1786046637111839500,240298159
1786046638143160000,241328119
1786046639166426000,242358406
1786046640212183500,243398000
1786046641251570500,244438001
1786046642330282000,245518056
1786046643361622000,246558277
1786046644397720500,247568485
1786046645426587500,248618163
1786046646431771500,249618153
1786046647482165000,250658128
1786046648521980500,251708037
1786046649576488500,252768339
1786046650576215000,253748129
1786046651601540000,254788316
1786046652631840500,255808194
