# host_unix_ns,fpga_counter_us
1786577791831174500,159998
1786577793400992500,1733493
1786577794450524500,2739586
1786577795511168000,3849420
1786577796516301000,4849953
1786577797526400000,5850189
1786577798561087000,6890130
1786577799581755500,7909939
1786577800581329000,8909953
1786577801581770000,9879950
1786577802601423500,10929757
1786577803631432500,11963097
1786577804661526000,12989491
1786577805700993000,14020064
1786577806700850000,15019829
1786577807705862500,16040499
1786577808733545000,17041196
1786577809736625500,18060023
1786577810746968000,19079783
1786577811741155000,20059966
1786577812747163000,21080430
1786577813771122500,22093343
1786577814786196000,23109739
1786577815801379000,24139561
1786577816861807500,25190266
1786577817865608000,26199976
1786577818846765500,27169922
1786577819865957500,28189769
1786577820880835000,29210572
1786577821926327500,30251723
1786577822966948500,31289773
1786577823991152500,32332562
1786577824986125000,33319831
1786577826000937500,34330043
1786577827011117500,35341031
1786577827998422000,36319927
1786577828980656500,37309537
1786577829966225000,38289467
1786577830962565500,39289570
1786577831965428000,40289887
1786577832966996500,41289699
1786577833995999000,42320016
1786577834970593500,43309565
1786577835956189000,44292408
1786577836975852000,45313726
1786577838035561500,46360498
1786577839032409000,47359622
1786577840031142500,48361700
1786577841089290000,49370661
1786577842171288000,50494790
1786577843243828500,51559806
1786577844299109500,52610007
1786577845358920500,53669199
1786577846430829500,54749825
1786577847450744500,55779778
1786577848405853000,56759780
1786577849375772000,57699515
1786577850414512500,58739589
1786577851475890500,59799626
1786577852509014000,60821086
1786577853570919500,61899641
1786577854570779500,62869006
1786577855596554500,63915590
1786577856630735500,64951506
1786577857641055000,65969212
1786577858651151000,66969297
1786577859701162500,68032747
1786577860695729500,69019413
1786577861670697000,69999463
1786577862660985000,70990675
1786577863676026000,72009116
1786577864696106000,73029855
1786577865715828500,74039783
1786577866716223500,75049211
1786577867721440000,76049495
1786577868750521500,77069794
1786577869776372500,78098970
1786577870770802000,79098966
1786577871795821500,80109323
1786577872795782000,81119116
1786577873847381500,82169395
1786577874877289000,83189747
1786577875926501000,84250518
1786577876945432500,85269287
1786577877935986500,86259552
1786577878955598000,87279691
1786577880000913500,88325409
1786577881075883500,89399767
1786577882090491500,90419546
1786577883075576500,91399780
1786577884076032000,92399229
1786577885115721000,93439681
1786577886136018500,94459825
1786577887146088500,95459173
1786577888190864000,96508964
1786577889196102500,97530488
1786577890216171000,98539563
1786577891221524500,99549295
1786577892230500000,100559351
1786577893210915000,101549050
1786577894215764500,102540020
1786577895246067500,103559828
1786577896270659000,104598979
1786577897285762500,105590105
1786577898330856000,106649469
1786577899341089000,107649681
1786577900381067000,108699620
1786577901421179500,109739586
1786577902490659000,110810563
1786577903506166000,111829071
1786577904505820500,112829250
1786577905496244500,113829408
1786577906496065500,114819566
1786577907515871500,115839925
1786577908521484500,116849890
1786577909586531500,117909373
1786577910616243000,118939504
1786577911616733500,119939034
1786577912621141000,120949602
1786577913616332000,121949565
1786577914631014000,122950087
1786577915641042500,123959522
1786577916690850000,125019435
1786577917685896500,126009323
1786577918675454500,126999866
1786577919676029000,127999813
1786577920685731000,129009145
1786577921696052500,130019333
1786577922690649500,131008816
1786577923725875500,132039205
1786577924690782500,133029388
1786577925723847000,134049407
1786577926741254500,135069677
1786577927750910500,136069633
1786577928770929000,137089466
1786577929791298500,138129258
1786577930805916000,139149204
1786577931805450500,140119550
1786577932806373500,141139342
1786577933795806000,142128983
1786577934801141000,143129139
1786577935826661500,144150188
1786577936851028000,145179634
1786577937924616000,146248759
1786577938946149000,147269390
1786577939966172000,148290020
1786577941004290000,149329225
1786577942040967500,150369321
1786577943057123500,151379435
1786577944071591000,152389813
1786577945145853500,153469913
1786577946155967500,154479082
1786577947175777000,155499296
1786577948201006500,156529336
1786577949215908000,157539398
1786577950205807500,158539361
1786577951225771500,159540527
1786577952330662500,160649380
1786577953336286500,161659130
1786577954340576000,162669514
1786577955335714500,163659214
1786577956330936500,164649131
1786577957340840500,165668811
1786577958335656500,166659390
1786577959384469000,167699739
1786577960400860500,168719137
1786577961397982500,169719047
1786577962415774500,170740966
1786577963430721500,171759092
1786577964436091500,172759490
1786577965451040000,173779282
1786577966454998000,174799028
1786577967461159500,175789079
1786577968475792000,176809449
1786577969476004000,177799082
1786577970501081500,178829213
1786577971509062000,179830356
1786577972510339500,180839349
1786577973511054500,181873629
1786577974551143000,182879436
1786577975555963500,183889127
1786577976575799000,184899332
1786577977591178500,185919189
1786577978595910000,186909239
1786577979595887500,187918916
1786577980650971500,188939032
1786577981787779000,190109145
1786577982810655500,191149215
1786577983830796000,192159377
1786577984830873000,193159201
1786577985841290000,194169683
1786577986851996000,195179475
1786577987895684500,196259821
1786577989015782500,197338704
1786577990041104000,198373647
1786577991095850500,199419357
1786577992146125500,200422354
1786577993225967500,201549282
1786577994341049000,202669228
1786577995492350000,203779130
1786577996584102000,204869200
1786577997631089500,205959311
1786577998660830500,206979537
1786577999660816500,207978999
1786578000670415500,208989226
1786578001680660500,209999597
1786578002765572000,211099054
1786578003760791500,212079149
1786578004785653500,213108779
1786578005806234000,214129304
1786578006845886500,215169087
1786578007861282500,216179354
1786578008865565000,217198939
1786578009895692500,218239004
1786578010871091000,219188931
1786578011875946000,220199254
1786578012905364000,221219004
1786578013920671500,222249415
1786578014911528000,223239289
1786578015910602000,224239087
1786578016930837500,225250131
1786578017926516000,226259158
1786578018925520000,227252587
1786578019935990500,228268956
1786578020930665000,229248944
1786578021955993000,230279089
1786578022986078500,231309238
1786578024050761000,232359499
1786578025071087000,233389216
1786578026060540500,234378647
1786578027080981000,235409167
1786578028122259000,236439827
1786578029135823500,237459287
1786578030151082000,238469087
1786578031637394500,239912005
1786578032806729500,241126156
1786578034059799000,242365510
1786578035391443500,243649861
1786578036681343000,244987350
1786578038099081000,246420545
1786578039478426500,247740063
1786578040786543500,249070590
1786578042207083000,250557895
1786578043497367000,251806152
1786578044832653500,253186078
1786578046132380500,254426225
1786578047298771000,255610509
1786578048467227000,256742627
1786578049546043000,257869955
1786578050570830500,258909294
1786578051585879500,259911090
1786578052620272500,260949014
1786578053636348500,261961392
1786578054661026000,262989732
1786578055670680000,263998843
1786578056665747000,264998787
1786578057670787500,265998891
1786578058675612500,266999189
1786578059740894500,268068281
1786578060740935000,269058886
1786578061750514500,270068906
1786578062745588000,271068904
1786578063735627500,272050680
1786578064730741500,273058758
1786578065751232000,274078896
1786578066815918000,275148823
1786578067840773000,276168623
1786578068850842000,277180228
1786578069850843500,278179000
1786578070870695000,279188925
1786578071888893000,280200650
1786578072916354000,281239928
1786578073965784000,282289764
1786578074985320500,283310080
1786578075985650000,284319006
1786578076985970000,285299490
1786578077995730500,286319029
1786578078990764000,287311345
1786578079996094500,288328734
1786578081025870500,289339998
1786578082035444500,290359032
1786578083066263000,291388864
1786578084081146500,292408549
1786578085071381000,293409056
1786578086050883000,294379789
1786578087055704000,295378867
1786578088110241000,296428638
1786578089135903500,297458586
1786578090121010000,298458605
1786578091090509000,299418683
1786578092071177500,300408562
