# host_unix_ns,fpga_counter_us
1786575386032960500,230287
1786575387087510500,1240604
1786575388102547000,2270365
1786575389097824000,3260399
1786575390102923000,4260560
1786575391108089000,5270329
1786575392132989000,6301425
1786575393173033000,7310150
1786575394237887500,8399806
1786575395244026500,9399468
1786575396258333000,10429922
1786575397267844500,11430152
1786575398297717000,12470269
1786575399328267500,13490342
1786575400362964500,14530513
1786575401398092500,15560151
1786575402433449000,16589709
1786575403517770000,17680096
1786575404543286000,18699856
1786575405563078500,19731572
1786575406592297500,20751941
1786575407603580500,21770144
1786575408627662500,22789976
1786575409648106500,23810164
1786575410682774500,24849994
1786575411712833500,25880053
1786575412722874000,26899737
1786575413727987500,27890347
1786575414753133500,28920099
1786575415793107500,29949905
1786575416817837000,30979724
1786575417862950000,32009790
1786575418902508500,33069825
1786575419933220000,34100023
1786575421004038500,35139741
1786575422042838000,36211352
1786575423053046000,37210367
1786575424067359000,38240305
1786575425082728500,39249972
1786575426097746000,40260206
1786575427118940500,41279969
1786575428148683500,42309793
1786575429178091000,43340272
1786575430188042500,44349861
1786575431219357000,45380116
1786575432227153500,46389712
1786575433237894000,47419688
1786575434253153500,48410134
1786575435282683000,49450048
1786575436294470500,50459509
1786575437318020500,51470734
1786575438384093000,52575741
1786575439432720500,53589641
1786575440465061500,54620013
1786575441491817000,55649688
1786575442523041000,56680045
1786575443568425000,57713536
1786575444617984500,58779822
1786575445632451000,59789677
1786575446647520000,60809690
1786575447652826000,61810598
1786575448647437000,62809414
1786575449723076000,63889579
1786575450702153000,64869477
1786575451707993500,65869839
1786575452732657500,66889787
1786575453773665000,67939812
1786575454808676000,68972957
1786575455833004500,70002991
1786575456862772000,71022979
1786575457892451500,72050792
1786575458902690500,73059928
1786575459947920000,74100037
1786575460972844000,75129490
1786575461972879000,76143045
1786575463007713500,77159945
1786575464032503500,78191069
1786575465055762000,79213105
1786575466103100000,80259702
1786575467157477000,81279626
1786575468214851000,82380826
1786575469228118000,83399319
1786575470227874000,84389869
1786575471257730000,85419970
1786575472302771500,86439838
1786575473342744500,87510736
1786575474362895000,88519625
1786575475377832000,89539764
1786575476382750000,90539762
1786575477407772500,91580463
1786575478487611500,92649328
1786575479488043500,93648931
1786575480508179000,94669619
1786575481519508500,95679774
1786575482532849500,96699149
1786575483552792500,97709792
1786575484592685500,98759506
1786575485639438000,99789959
1786575486677626000,100839876
1786575487722915000,101900289
1786575488742443000,102909366
1786575489737913000,103901007
1786575490769453000,104929340
1786575491812704500,105980946
1786575492847874000,107009994
1786575493897945500,108080228
1786575494903937500,109059508
1786575495912807500,110079710
1786575496898135500,111059828
1786575497917705000,112079675
1786575498943281500,113106082
1786575500017483500,114182564
1786575501045711500,115209580
1786575502058292500,116219987
1786575503087847000,117259119
1786575504107801500,118269730
1786575505137996000,119289771
1786575506172988000,120339373
1786575507199977000,121359590
1786575508213012500,122381625
1786575509232849500,123399728
1786575510253048500,124429783
1786575511264516500,125430109
1786575512292519500,126459254
1786575513330616500,127489788
1786575514353548000,128519217
1786575515347925000,129509824
1786575516362698000,130519832
1786575517387828500,131550461
1786575518428570500,132589698
1786575519452888500,133619503
1786575520467504500,134629375
1786575521497962000,135639975
1786575522537714500,136699007
1786575523550512500,137709838
1786575524577752500,138749676
1786575525602849000,139760105
1786575526653427000,140809934
1786575527688264500,141849479
1786575528738091000,142909275
1786575529763389500,143929169
1786575530772673000,144929628
1786575531808150500,145969582
1786575532822839000,146979988
1786575533848165000,148009834
1786575534878677000,149039516
1786575535898101000,150059544
1786575536938337500,151098687
1786575537958698500,152119372
1786575539012483000,153179067
1786575540022322000,154189332
1786575541052700000,155209762
1786575542078040000,156239662
1786575543097874000,157259384
1786575544102815000,158259527
1786575545122663500,159289376
1786575546157781000,160309610
1786575547203070000,161370187
1786575548232984000,162398832
1786575549253422000,163418855
1786575550317648000,164489334
1786575551332650500,165499755
1786575552317467500,166489392
1786575553332765500,167499834
1786575554357857500,168519067
1786575555405888500,169559697
1786575556427690000,170590770
1786575557560623000,171701273
1786575558680373000,172799664
1786575559809489500,173982287
1786575560938377500,175098583
1786575562065376500,176229592
1786575563119814500,177288599
1786575564282688000,178409058
1786575565713869500,179851003
1786575566808681000,180969327
1786575567808028000,181969360
1786575568833186000,182999909
1786575569862507500,184019500
1786575570888095000,185049376
1786575571978115000,186139334
1786575572983163000,187141882
1786575574017458000,188179501
1786575575028035000,189189220
1786575576037525500,190189434
1786575577047871000,191218690
1786575578094226500,192219382
1786575579147566000,193309500
1786575580178254500,194339496
1786575581187561500,195349524
1786575582218354000,196379665
1786575583227995500,197388892
1786575584248192000,198419587
1786575585273126000,199439733
1786575586352974000,200519058
1786575587377923000,201539414
1786575588407584000,202569146
1786575589425226500,203589326
1786575590438114000,204599364
1786575591452756000,205619384
1786575592472728500,206631525
1786575593532760500,207689218
1786575594572851000,208740026
1786575595602859500,209759150
1786575596652999500,210809434
1786575597673269000,211839276
1786575598728190000,212889289
1786575599793180000,213939214
1786575600823104000,214990644
1786575601827814500,215989367
1786575602858010000,217019945
1786575603887627500,218048858
1786575604918115500,219079176
1786575605937962500,220098672
1786575607013735000,221148951
1786575608062645500,222229115
1786575609088742000,223239703
1786575610119557000,224283100
1786575611128629000,225289614
1786575612149051500,226309245
1786575613168136500,227329900
1786575614167722000,228339385
1786575615187762000,229349169
1786575616213269500,230369508
1786575617287862000,231449479
1786575618297787500,232468605
1786575619322611000,233480210
1786575620338174000,234509952
1786575621363011000,235529337
1786575622383023500,236539659
1786575623418298000,237579283
1786575624463166500,238599059
1786575625502963500,239671111
1786575626497474500,240649073
1786575627508102500,241669246
1786575628552737000,242679368
1786575629592553500,243759787
1786575630632901000,244779297
1786575631658245000,245819918
1786575632682970000,246839463
1786575633728221000,247889472
1786575634753594000,248919310
1786575635767863500,249939465
1786575636803139500,250959164
1786575637843044000,252000578
1786575638862914500,253019353
1786575639878713000,254039556
1786575640903830500,255069364
1786575641938216500,256099307
1786575643027005500,257189313
1786575644047378000,258199067
1786575645073086000,259229256
1786575646082766000,260248719
1786575647092694500,261238786
1786575648102733500,262269073
1786575649128092000,263289873
1786575650143580500,264319163
1786575651144988000,265309135
1786575652152388500,266309140
1786575653157744500,267329439
1786575654142674000,268308669
1786575655147962000,269309139
1786575656178016000,270339334
1786575657198342500,271359684
1786575658251196500,272409248
1786575659290025000,273448992
1786575660302762500,274469093
1786575661316029000,275478883
1786575662312772500,276469233
1786575663343178000,277508882
1786575664377977000,278556643
1786575665397926500,279548574
1786575666429802000,280589115
1786575667438213000,281599669
1786575668437988500,282608859
1786575669427778000,283588698
1786575670432861000,284588945
1786575671503699000,285669070
1786575672502800500,286668838
1786575673522855500,287678700
1786575674552822500,288709102
1786575675606607000,289778873
1786575676624337000,290789197
1786575677637737000,291799339
1786575678702674000,292859670
1786575679728361500,293889054
1786575680743406000,294899102
1786575681760877500,295919764
1786575682797918000,296959222
1786575683807599000,297968882
1786575684808895000,298969098
1786575685838232000,299999463
1786575686865587000,301019172
