# host_unix_ns,fpga_counter_us
1785967832957036500,159490
1785967833975259000,1179620
1785967835001114500,2199783
1785967836071491500,3229600
1785967837050306500,4249734
1785967838004875000,5199498
1785967839025323000,6219214
1785967840013197500,7169553
1785967840979941500,8169393
1785967841995935000,9189801
1785967843030721000,10229562
1785967844019926000,11209950
1785967845047327500,12249682
1785967845970167000,13169553
1785967847005368000,14199424
1785967848045122500,15239667
1785967848986451000,16179566
1785967850020743000,17212267
1785967850979895000,18169346
1785967851995153500,19199430
1785967880842587500,150724
1785967881842049500,1161013
1785967882851828500,2160736
1785967883862127500,3181635
1785967884872089500,4170689
1785967885908225000,5210439
1785967886972226000,6280938
1785967887997110500,7300584
1785967889022845000,8330751
1785967890051928500,9360785
1785967891086902000,10401312
1785967892101792500,11420799
1785967893132424000,12440689
1785967894156914000,13471319
1785967895172033000,14470806
1785967896186608000,15490853
1785967897191923000,16500468
1785967898222677500,17510965
1785967899236827500,18540365
1785967900256741000,19570999
