# host_unix_ns,fpga_counter_us
1786401513894979000,160285
1786401514924510500,1190116
1786401515946873000,2210190
1786401516954392500,3220287
1786401517964358500,4239970
1786401518969656000,5249833
1786401520000113500,6270941
1786401521072293500,7339506
1786401522121749500,8390684
1786401523155234500,9420182
1786401524174735000,10450266
1786401525200443500,11470030
1786401526229883500,12489703
1786401527244612500,13519603
1786401528234499500,14500009
1786401529239751500,15510879
1786401530274511000,16549856
1786401531295236000,17560140
1786401532309131000,18580097
1786401533299291500,19559570
1786401534309939500,20580026
1786401535340005000,21609925
1786401536349863000,22619853
1786401537374738000,23649717
1786401538389765000,24670184
1786401539405046500,25680099
1786401540434659000,26700269
1786401541419869000,27690549
1786401542430232000,28699877
1786401543444720000,29710124
1786401544532576000,30800468
1786401545559976500,31829507
1786401546565478000,32839789
1786401547569399000,33839758
1786401548570036500,34848884
1786401549569930000,35839920
1786401550585303000,36850127
1786401551685762000,37959716
1786401552704496500,38979494
1786401553699552500,39969541
1786401554704462000,40974079
1786401555704415500,41969784
1786401556746436000,43019513
1786401557804549000,44081017
1786401558869689000,45139571
1786401559899257000,46176513
1786401560895538000,47170489
1786401561916233500,48189645
1786401562925360000,49190005
1786401563959670000,50233963
1786401564981143500,51250899
1786401566004499000,52280321
1786401567030441500,53299585
1786401568055341000,54329903
1786401569100745500,55370323
1786401570134638500,56420261
1786401571156263000,57419862
1786401572164592000,58430100
1786401573179767500,59449916
1786401574184772500,60459510
1786401575189743000,61460433
1786401576204406000,62469794
1786401577214349000,63489917
1786401578199627000,64460584
1786401579194547500,65471635
1786401580225029000,66491048
1786401581256383500,67530136
1786401582274352500,68549172
1786401583285227500,69551987
1786401584305172000,70579556
1786401585324630000,71599806
1786401586350071000,72622383
1786401587430075500,73700307
1786401588450006500,74720689
1786401589470196500,75740224
1786401590489519000,76769717
1786401591494462000,77760811
1786401592499709000,78771369
1786401593529930500,79799869
1786401594559596500,80830119
1786401595544586500,81819959
1786401596550207000,82820151
1786401597530768000,83799723
1786401598545011000,84809832
1786401599529735000,85799589
1786401600534551000,86805412
1786401601594713500,87860589
1786401602584392000,88859670
1786401603594914000,89870670
1786401604599561000,90869581
1786401605589364500,91859676
1786401606614657500,92879910
1786401607620134500,93901433
1786401608654665500,94929716
1786401609679989500,95949827
1786401610709274500,96969796
1786401611699846500,97979889
1786401612700350000,98959479
1786401613709783000,99989581
1786401614739691500,100999858
1786401615794349500,102069487
1786401616794269500,103060436
1786401617799250000,104079422
1786401618800230500,105072179
1786401619806223500,106079322
1786401620826370500,107090287
1786401621844661500,108119699
1786401622884201500,109161676
1786401623905123500,110179867
1786401624899760000,111159532
1786401625909536500,112189599
1786401626894986000,113179602
1786401627919936500,114184532
1786401628933658000,115200312
1786401630006569000,116269569
1786401631004862500,117271950
1786401631994577500,118259998
1786401632999893500,119289581
1786401634006520500,120280478
1786401635014805500,121289642
1786401636000261000,122279268
1786401637039810000,123349724
1786401638054674000,124319522
1786401639024594000,125309468
1786401640029972500,126299530
1786401641070529500,127340195
1786401642130431500,128399805
1786401643169698000,129439508
1786401644200807500,130501492
1786401645280484500,131549839
1786401646294907500,132569727
1786401647295476000,133579296
1786401648310558000,134579789
1786401649351999500,135620068
1786401650380310500,136649764
1786401651472852500,137740865
1786401652500074000,138775362
1786401653544983500,139819717
1786401654559684500,140839658
1786401655559599000,141829582
1786401656590040000,142869590
1786401657610407000,143879567
1786401658674729500,144939350
1786401659659849000,145939779
1786401660669838000,146949589
1786401661674764000,147939255
1786401662689664000,148959207
1786401663704821000,149970293
1786401664744673500,151009456
1786401665784825000,152049358
1786401666779445500,153059397
1786401667789931000,154049963
1786401668804693500,155069612
1786401669795079500,156059463
1786401670820167000,157099640
1786401671835178000,158109590
1786401672907571000,159179700
1786401673919729500,160189349
1786401674924770000,161209434
1786401675930079000,162199615
1786401676949854500,163229573
1786401677914751500,164188965
1786401678930009500,165199530
1786401679984566500,166279413
1786401681049965000,167319607
1786401682045016000,168329126
1786401683045114000,169319246
1786401684075024500,170339338
1786401685090075000,171359593
1786401686114891500,172379589
1786401687150253000,173456490
1786401688205472000,174469504
1786401689224938000,175499301
1786401690225233000,176499529
1786401691240409500,177509573
1786401692255555500,178531308
1786401693274785500,179549560
1786401694325709000,180629575
1786401695369747000,181650132
1786401696381283000,182659436
1786401697374950500,183638849
1786401698395125000,184658915
1786401699414852000,185680180
1786401700430245500,186699677
1786401701507054500,187779602
1786401702509858500,188779312
1786401703519900500,189789720
1786401704555192500,190819692
1786401705600628500,191859997
1786401706634951500,192909598
1786401707655342500,193920452
1786401708692142000,194959367
1786401709715285500,196000588
1786401710720097500,196980028
1786401711730431500,198000506
1786401712752261500,199019327
1786401713780087500,200050003
1786401714795705500,201069368
1786401715845210500,202114600
1786401716845193000,203119729
1786401717844492000,204109360
1786401718835069000,205109432
1786401719850375000,206120020
1786401720880434500,207149576
1786401721885555500,208159743
1786401722930356500,209229438
1786401723960505000,210238767
1786401724985199000,211249596
1786401725980596000,212279435
1786401726980462500,213238779
1786401727991010000,214259536
1786401729000471500,215279350
1786401730035122000,216329228
1786401731075224000,217349015
1786401732100355500,218369578
1786401733110670000,219379086
1786401734124993500,220389418
1786401735140456000,221409525
1786401736160566000,222429592
1786401737225400500,223504659
1786401738275166500,224539354
1786401739300196000,225569578
1786401740330433500,226599895
1786401741360648500,227629814
1786401742380482000,228649995
1786401743395063000,229659538
1786401744470435000,230739325
1786401745495517500,231769082
1786401746516967000,232779362
1786401747560338500,233829605
1786401748590440000,234859746
1786401749630571500,235899740
1786401750649848500,236929834
1786401751728018500,237999543
1786401752745389500,239019575
1786401753775518500,240039244
1786401754800801000,241070327
1786401755825676500,242100128
1786401756866885000,243119590
1786401757930626500,244199280
1786401759025406500,245289660
1786401760035452000,246299132
1786401761065450000,247329199
1786401762080423000,248349137
1786401763095581500,249359046
1786401764114924500,250380449
1786401765135575000,251410593
1786401766170065000,252449314
1786401767190210500,253468784
1786401768205284000,254479209
1786401769190816500,255459523
1786401770200314000,256459748
1786401771190444000,257459395
1786401772200347000,258469393
1786401773270279500,259559140
1786401774260675000,260489345
1786401775245513000,261519351
1786401776259857000,262519226
1786401777270585500,263539266
1786401778300874500,264568846
1786401779335200500,265609646
1786401780395537500,266669899
1786401781401032500,267670297
1786401782430446500,268699740
1786401783450362000,269720029
1786401784465538000,270739158
1786401785480511000,271749271
1786401786495288000,272759183
1786401787545173000,273830441
1786401788555213000,274829485
1786401789590843000,275869213
1786401790590326500,276869246
1786401791610743500,277879557
1786401792645627000,278919156
1786401793669201000,279929377
1786401794736116000,281009398
1786401795766100000,282039311
1786401796765689500,283041813
1786401797720641500,283989393
1786401798725205500,284999460
1786401799755418500,286029124
1786401800766104500,287039752
1786401801840229500,288109218
1786401802835359500,289099394
1786401803840681000,290109264
1786401804860465500,291139081
1786401805845411500,292109636
1786401806850335500,293109291
1786401807870714000,294139345
1786401808950159500,295218871
1786401809981365000,296249235
1786401811002841000,297271499
1786401812035709000,298299081
1786401813075425500,299338803
1786401814086005000,300359780
1786401815086391500,301349172
1786401816166030500,302429178
1786401817181016500,303449385
1786401818181227000,304459754
1786401819190694000,305459544
1786401820230964000,306500521
1786401821276271000,307539300
1786401822332383500,308589138
1786401823435963000,309679505
1786401824495674000,310769315
1786401825525987500,311799165
1786401826560925500,312829076
1786401827590605500,313859354
1786401828625462500,314899039
1786401829645540500,315929162
1786401830610819500,316888882
1786401831640465500,317918965
1786401832665217000,318928985
1786401833675492500,319949288
1786401834685859000,320948374
1786401835725842000,321998616
1786401836745461000,323009249
1786401837786305000,324059323
1786401838810626000,325079563
1786401839835884000,326099162
1786401840845532000,327118884
1786401841880635000,328148935
1786401842915722500,329188575
1786401844062477500,330299157
1786401845115808500,331388940
1786401846115810000,332389311
1786401847146014000,333419172
1786401848171983000,334441796
1786401849190941500,335459426
1786401850211190500,336479373
1786401851242724500,337510149
1786401852275486000,338529198
1786401853291523500,339560838
1786401854321773000,340589939
1786401855330901500,341599099
1786401856361849000,342629481
1786401857380895500,343648778
1786401858446010500,344704952
1786401859502181000,345768876
1786401860531002000,346808992
1786401861666863000,347929771
1786401862676253000,348939155
1786401863716609500,349998870
1786401864740535000,351009031
1786401865765944000,352029000
1786401866797844000,353059573
1786401867805969500,354068950
1786401868820394500,355088765
1786401869831044500,356099189
1786401870841445500,357109621
1786401871850433000,358098633
1786401872879068500,359128776
1786401873904306000,360178686
1786401874885892000,361158186
1786401875896344500,362168971
1786401876915962000,363189066
1786401877936683500,364209127
1786401878952909500,365219147
1786401879955744000,366208629
1786401880995631500,367268992
1786401881995597000,368278740
1786401883010819000,369279007
1786401884033187000,370298692
1786401885040314000,371319260
1786401886050999000,372319025
1786401887081174500,373329154
1786401888100714500,374378886
1786401889117044500,375389258
1786401890131360500,376399142
1786401891130785000,377399104
1786401892161162000,378428951
1786401893210664500,379478885
1786401894272277500,380512230
1786401895347272000,381609101
1786401896375645000,382639047
1786401897396958500,383658848
1786401898410953500,384679109
1786401899441605500,385701546
1786401900481018500,386758775
1786401901556152000,387788899
1786401902622130000,388888940
1786401903646733000,389918910
1786401904676336500,390949030
1786401905680868000,391948508
1786401906711025500,392979108
1786401907746295500,394018778
1786401908790785000,395079395
1786401909856173500,396119065
1786401910906000000,397178640
1786401911945731000,398218609
1786401912966109000,399229007
1786401913981408500,400248958
1786401914996149500,401268891
1786401916083056500,402339292
1786401917110931500,403378755
1786401918140859000,404410182
1786401919171063000,405439049
1786401920175859000,406441641
1786401921196481000,407470796
1786401922215962000,408479307
1786401923223834000,409497672
1786401924236158500,410510032
1786401925261041000,411528448
1786401926266218500,412538601
1786401927282855500,413558826
1786401928300683000,414569062
1786401929326120000,415588703
1786401930380356000,416638611
1786401931400748000,417668729
1786401932402041000,418678246
1786401933411655000,419678543
1786401934436400000,420708874
1786401935435914500,421698653
1786401936440996500,422698679
1786401937523069000,423788965
1786401938541018000,424808530
1786401939533252500,425809097
1786401940530596000,426808910
1786401941561126000,427839506
1786401942601554000,428869363
1786401943611344500,429879077
1786401944673763500,430939653
1786401945696199500,431968462
1786401946748128500,433018745
1786401947767101500,434028700
1786401948780964500,435048905
1786401949781251500,436058366
1786401950785759500,437058552
1786401951824954000,438088840
1786401952816302500,439088745
1786401953831297500,440098599
1786401954840868000,441098764
1786401955845881000,442118460
1786401956841251500,443109034
1786401957856571000,444129127
1786401958886257500,445158980
1786401959926343500,446199272
1786401960966156500,447228888
1786401962001194000,448278985
1786401963031348500,449298880
1786401964076440500,450348750
1786401965111001500,451388708
1786401966196064500,452458764
1786401967226192000,453488942
1786401968250951000,454518823
1786401969267101500,455528830
1786401970331183500,456598410
1786401971356224500,457629137
1786401972365859500,458638542
1786401973401273000,459678579
1786401974421265500,460688408
1786401975451602000,461718887
1786401976476199500,462748814
1786401977491288500,463768884
1786401978511277000,464778870
1786401979531448500,465798854
1786401980581366000,466848482
1786401981587433500,467859178
1786401982585921500,468858179
1786401983586624000,469858719
1786401984586651000,470848072
1786401985623736000,471868669
1786401986656216000,472919745
1786401987712352500,473968627
