# host_unix_ns,fpga_counter_us
1786383129409448000,173720
1786383130423705000,1189418
1786383131458639500,2241546
1786383132523903000,3282219
1786383133558544500,4319734
1786383134593957500,5349745
1786383135623840500,6379506
1786383136658220500,7419634
1786383137668857500,8420606
1786383138698487500,9459815
1786383139719257000,10479476
1786383140733633500,11490163
1786383141768630500,12519093
1786383142793955500,13550539
1786383143813255000,14569367
1786383144823632500,15579439
1786383145915594500,16669635
1786383146933359000,17689342
1786383147948617500,18709473
1786383148983590500,19729582
1786383150003545500,20769541
1786383150988893500,21749467
1786383152013816000,22769145
1786383153100317500,23859230
1786383154118661500,24869650
1786383155148746000,25899780
1786383156183436500,26939653
1786383157209189000,27969105
1786383158218808000,28979368
1786383159249096000,30000400
1786383160323900500,31079682
1786383161349270000,32099687
1786383162383056000,33149335
1786383163403375000,34159466
1786383164394313000,35149337
1786383165398307000,36159210
1786383166403751000,37159426
1786383167484044500,38239364
1786383168508284500,39269231
1786383169533850000,40299455
1786383170569292500,41330311
1786383171588064000,42349502
1786383172589960000,43349300
1786383173593985500,44359363
1786383174618164000,45370247
1786383175624255500,46381093
1786383176648783000,47409602
1786383177663117500,48419691
1786383178673635000,49429517
1786383179687810000,50439625
1786383180708630000,51470074
1786383181773524000,52529524
1786383182793411500,53559000
1786383183814581000,54569524
1786383184833635000,55599957
1786383185838730500,56600086
1786383186848978500,57609450
1786383187848418000,58609404
1786383188915807000,59679566
1786383189913081000,60669299
1786383190918456500,61678869
1786383191938116500,62689504
1786383192948264500,63709441
1786383193970097000,64729275
1786383194984660000,65742117
1786383196053627000,66809101
1786383197073782500,67829928
1786383198103338000,68859261
1786383199117313500,69858913
1786383200113530000,70872547
1786383201133372000,71885687
1786383202152924500,72911858
1786383203223488000,73979779
1786383204283569500,75039162
1786383205313644500,76069399
1786383206333863000,77089415
1786383207393198000,78139917
1786383208440189500,79189169
1786383209458967000,80221114
1786383210548176500,81299076
1786383211588388500,82340328
1786383212633280000,83389432
1786383213653337000,84409380
1786383214683866500,85439094
1786383215728283500,86509218
1786383216762944500,87529068
1786383217773444000,88538960
1786383218793784500,89549944
1786383219818718500,90569410
1786383220837902000,91589139
1786383221853730500,92609133
1786383222843689500,93609326
1786383223848880500,94609854
1786383224823014500,95589459
1786383225848096500,96598997
1786383226868105500,97629257
1786383227880305000,98639116
1786383228898463500,99649831
1786383229933265500,100689036
1786383230964315500,101719421
1786383232013219000,102758790
1786383233034621000,103779294
1786383234023174000,104779304
1786383235022931000,105788948
1786383236048030000,106809484
1786383237072967000,107819484
1786383238113351500,108859309
1786383239182958500,109939263
1786383240199175500,110959184
1786383241233511000,111989190
1786383242237943000,112999192
1786383243252834000,114008822
1786383244252669500,115009531
1786383245268111500,116018527
1786383246339339000,117100857
1786383247352900000,118109062
1786383248362578500,119119302
1786383249352446500,120109017
1786383250362850500,121128906
1786383251377524000,122139158
1786383252387977500,123149534
1786383253439413000,124179201
1786383254453131000,125218912
1786383255463279500,126219055
1786383256477698500,127239136
1786383257467835500,128219252
1786383258517721000,129335924
1786383259567948500,130329175
1786383260648099500,131409494
1786383261709296500,132469438
1786383262729474000,133488853
1786383263754273500,134509189
1786383264783734000,135538960
1786383265823217500,136578946
1786383266863495500,137619089
1786383267903318000,138659297
1786383268962949500,139709115
1786383270008202000,140769045
1786383271033337000,141791320
1786383272063625000,142818972
1786383273083356000,143839216
1786383274141241500,144859241
1786383275178067000,145939146
1786383276173698000,146939301
1786383277177572000,147929321
1786383278177731000,148929119
1786383279199319500,149949403
1786383280228050000,150979084
1786383281232816000,151991053
1786383282252818000,153009160
1786383283262848000,154018865
1786383284262724000,155028830
1786383285237696500,156000261
1786383286272835000,157031444
1786383287278642000,158038990
1786383288277646000,159039230
1786383289273104500,160029117
1786383290297684000,161059942
1786383291313524000,162079037
1786383292328497500,163078807
1786383293338892500,164089151
1786383294358153000,165119546
1786383295388462500,166149232
1786383296412843000,167169202
1786383297437686000,168189322
1786383298457361000,169218931
1786383299457865000,170209107
1786383300472782000,171238939
1786383301497968000,172258615
1786383302513045000,173268965
1786383303532793000,174279248
1786383304547893000,175298981
1786383305562557500,176318621
1786383306582651000,177339441
1786383307602181500,178361094
1786383308597403000,179348898
1786383309578353500,180334876
1786383310819990500,181538940
1786383312811039000,183288556
1786383314298316500,185048890
1786383315303319500,186058567
1786383316312875500,187068835
1786383317373587500,188147026
1786383318383019000,189139080
1786383319392322500,190139157
1786383320379259000,191139246
1786383321393575500,192149265
1786383322407613500,193159213
1786383323387837000,194148674
1786383324392532500,195138127
1786383325402089000,196161653
1786383326342399000,197108651
1786383327312455500,198068960
1786383328322724500,199079446
1786383329307357000,200068876
1786383330309195000,201068662
1786383331323402000,202058892
1786383332309027000,203078807
1786383333302609000,204059910
1786383334327995500,205089228
1786383335352576000,206108952
1786383336347029000,207108782
1786383337347471500,208109338
1786383338362520000,209119149
1786383339393790500,210149911
1786383340432676000,211188918
1786383341452493500,212208868
1786383342468051500,213229969
1786383343488042000,214248852
1786383344507370000,215259228
1786383345532890000,216278996
1786383346607494000,217359015
1786383347655723000,218411275
1786383348687332000,219449585
1786383349698331000,220458802
1786383350707881000,221461522
1786383351742515500,222499238
1786383352801174000,223534813
1786383353842688500,224598553
1786383354857697500,225618958
1786383355867714000,226629162
1786383356897313000,227638755
1786383357967443000,228768073
1786383359108955500,229798912
1786383360272546500,231062296
1786383361322464500,232079004
1786383362348332500,233098761
1786383363372264500,234128786
1786383364392298500,235149173
1786383365412599500,236168871
1786383366437215000,237189439
1786383367462565500,238249475
1786383368512321000,239268950
1786383369527456500,240288888
1786383370542380500,241298809
1786383371547645000,242308743
1786383372605955000,243358960
1786383373622509500,244378840
1786383374723815500,245488781
1786383375721861000,246478940
1786383376727905500,247488887
1786383377745248000,248489126
1786383378762567000,249528867
1786383379773402500,250528294
1786383380797022500,251568592
1786383381858964500,252618815
1786383382844900000,253608833
1786383383882095000,254628721
1786383384892054000,255648733
1786383385907650000,256669109
1786383386907411500,257678928
1786383387928412500,258689073
1786383388967755500,259748751
1786383390023175500,260778661
1786383391052824500,261818600
1786383392083619000,262839610
1786383393093058500,263848722
1786383394093063000,264858599
1786383395072679000,265838565
1786383396082264000,266878459
1786383397117087000,267868507
1786383398101937000,268859001
1786383399124002500,269878855
1786383400147762000,270898920
1786383401192712500,271948733
1786383402199774500,272958265
1786383403251313000,274038987
1786383404309029500,275068721
1786383405333003000,276098515
1786383406317163000,277068986
1786383407322373000,278078902
1786383408341444000,279098624
1786383409367438500,280119797
1786383410402502500,281179215
1786383411451979000,282208709
1786383412472655500,283229036
1786383413484493000,284238703
1786383414487796000,285248589
1786383415502421500,286248553
1786383416512568500,287269830
1786383417562306500,288329049
1786383418602337500,289358666
1786383419622519000,290381082
1786383420612261500,291378770
1786383421631868000,292388933
1786383422637573500,293389109
1786383423698890500,294458235
1786383424711780500,295489640
1786383425726770500,296498704
1786383426716901000,297468532
1786383427737662000,298498512
1786383428769264500,299519361
1786383429793375500,300548655
1786383430807204500,301569104
1786383431867141000,302628752
1786383432876775500,303638367
1786383433870162000,304628212
1786383434866427000,305618455
1786383435831817500,306598620
1786383436852597500,307611871
1786383437866986000,308618550
1786383438891911500,309619021
1786383439936634000,310698740
1786383440931446000,311688406
1786383441912684000,312668615
1786383442890919000,313648490
1786383443902009500,314668729
1786383444892337000,315648629
1786383445917245000,316668684
1786383446941949500,317698624
1786383447977483000,318728852
1786383449002255500,319759702
1786383450036914000,320798605
1786383451062267000,321798655
1786383452097543500,322848865
1786383453146537000,323878439
1786383454181937500,324938517
1786383455259541000,326009191
1786383456292065500,327048742
1786383457307001000,328058658
1786383458341924500,329098813
1786383459370367500,330118555
1786383460427148500,331208957
1786383461467345500,332228652
1786383462491845500,333248708
1786383463507426500,334269044
1786383464557234000,335308811
1786383465597649500,336348998
1786383466607568000,337358667
1786383467704276000,338458920
1786383468717244500,339468741
1786383469727082000,340488535
1786383470731902000,341498499
1786383471728345500,342488471
1786383472762404500,343518758
1786383473757657000,344518182
1786383474830948500,345588954
1786383475862144500,346618304
1786383476902323500,347668471
1786383477912375000,348668906
1786383478931998500,349688472
1786383479931640500,350678752
1786383480951716000,351708951
1786383482011484500,352758543
1786383483026893000,353788507
1786383484042327000,354798316
1786383485077371000,355838415
1786383486066489000,356818285
1786383487061584000,357828599
1786383488036544000,358797821
1786383489037702000,359805375
1786383490066752500,360818421
1786383491081764500,361838562
1786383492106323500,362858592
1786383493091416500,363848719
1786383494081831500,364838472
1786383495072269500,365808566
1786383496116866000,366904306
1786383497162886500,367918710
1786383498166082000,368928540
1786383499167378500,369928311
1786383500228681000,370999068
1786383501286715000,372048199
1786383502281371500,373048540
1786383503286718500,374052478
1786383504306789500,375058095
1786383505336732000,376098572
1786383506336996500,377108501
1786383507376742000,378129375
1786383508407336500,379158474
1786383509452296000,380208901
1786383510502001500,381278448
1786383511551897000,382298843
1786383512578081000,383318160
1786383513547494000,384298402
1786383514561757500,385318322
1786383515596849500,386358501
1786383516616879000,387378382
1786383517656982000,388428470
1786383518696585000,389448317
1786383519706917000,390458784
1786383520701371000,391458487
1786383521726481000,392477909
1786383522731416500,393478492
1786383523731826000,394487911
1786383524844985500,395624337
1786383525886966500,396640261
1786383526891609500,397658349
1786383527876479000,398638708
1786383528881878000,399638423
1786383529898626500,400658732
1786383530906756500,401668963
1786383531942444000,402728526
1786383532986674500,403748302
1786383534021418000,404778671
1786383535026279000,405788068
1786383536031279500,406788367
1786383537042025000,407798134
1786383538056502000,408828295
1786383539086659500,409878310
1786383540161382500,410928683
1786383541166679500,411928326
1786383542161352500,412918321
1786383543192187000,413948537
1786383544211815500,414968475
1786383545231888000,415988382
