# host_unix_ns,fpga_counter_us
1786491433960462500,160372
1786491434969803500,1171273
1786491435999670500,2195123
1786491437015340500,3219928
1786491438065403500,4260632
1786491439104986500,5300117
1786491440144657500,6350533
1786491441214756500,7430290
1786491442211464000,8409555
1786491443199784000,9400368
1786491444184999000,10389967
1786491445180296000,11379832
1786491446184712500,12381196
1786491447201332500,13400360
1786491448219793500,14420256
1786491449260011000,15459995
1786491450275591500,16480390
1786491451299314000,17519745
1786491452302473000,18499992
1786491453284828500,19509983
1786491454294785000,20489959
1786491455281478000,21470065
1786491456305181000,22500464
1786491457299551500,23509712
1786491458280336500,24490150
1786491459299018000,25499796
1786491460267465000,26460265
1786491461269430000,27480687
1786491462279504000,28470003
1786491463305544500,29501816
1786491464341959000,30541756
1786491465371401000,31570775
1786491466500640500,32740673
1786491467718772000,33898540
1786491469094857500,35360086
1786491470170071500,36380276
1786491471171477000,37370236
1786491472184826000,38390270
1786491473218571000,39410326
1786491474244942500,40449910
1786491475289972000,41489713
1786491476336654500,42539942
1786491477354842500,43550195
1786491478379868500,44580388
1786491479389511500,45579654
1786491480409679500,46589353
1786491481434585500,47640230
1786491482451072000,48650741
1786491483449708000,49641282
1786491484470666500,50670154
1786491485464701000,51659664
1786491486500034000,52700018
1786491487559872500,53733297
1786491488625401000,54820114
1786491489655122000,55850184
1786491490699605000,56910083
1786491491734958000,57939923
1786491492724753000,58929883
1786491493740179500,59940576
1786491494785164000,61009870
1786491495840874500,62040154
1786491496860060500,63070400
1786491497874797500,64079523
1786491498889885000,65090145
1786491499909651500,66119317
1786491500949721500,67140039
1786491502049577000,68250011
1786491503059682000,69269531
1786491504049637500,70259874
1786491505049610000,71249954
1786491506029509000,72239850
1786491506994738500,73193669
1786491507999682000,74199839
1786491509029444500,75265940
1786491510075147000,76269574
1786491511089750000,77290491
1786491512104580500,78312979
1786491513119710500,79310234
1786491514149389500,80339717
1786491515164853000,81359542
1786491516199550000,82418616
1786491517260316500,83449926
1786491518310957000,84500591
1786491519319802500,85510140
1786491520335765500,86531247
1786491521340448500,87540307
1786491522375190000,88570466
1786491523420241000,89640337
1786491524450707000,90660754
1786491525459839500,91660918
1786491526480908000,92679790
1786491527529810500,93720009
1786491528555021500,94760423
1786491529559867000,95759434
1786491530585833000,96789901
1786491531640722500,97840096
1786491532659963500,98860455
1786491533692137500,99889965
