# host_unix_ns,fpga_counter_us
1786472235588607500,154499
1786472236603360000,1183838
1786472237593650500,2172593
1786472238593695000,3172619
1786472239623526500,4193014
1786472240648380000,5223278
1786472241653778500,6232732
1786472242732812000,7312889
1786472243738356500,8312782
1786472244735407500,9312961
1786472245739160000,10322570
1786472246703437000,11272417
1786472247708800000,12282667
1786472248743182500,13321995
1786472249789493000,14383277
1786472250808073000,15372554
1786472251793890000,16372425
1786472252799926500,17382388
1786472253793218500,18362583
1786472254774035000,19353206
1786472255778383500,20352348
1786472256824657000,21373251
1786472257883379000,22452546
1786472258893867500,23472667
1786472259898138500,24472808
1786472260918954000,25502662
1786472261938336500,26513313
1786472262948574500,27522869
1786472263998291000,28599786
1786472265058681500,29633937
1786472266093656500,30675108
1786472267088537500,31662714
1786472268128391000,32703166
1786472269173761500,33753161
1786472270193536500,34772591
1786472271238292500,35832179
1786472272293857000,36862565
1786472273329205500,37902080
1786472274349744000,38923439
1786472275378828500,39954168
1786472276399139000,40972826
1786472277428798000,42002563
1786472278493177500,43062913
1786472279529221500,44103304
1786472280633767000,45203611
1786472281673392000,46252713
1786472282694300500,47273488
1786472283704026500,48282483
1786472284708050500,49282541
1786472285733407000,50302896
1786472286753467000,51332984
1786472287805596000,52383522
1786472288828111000,53402632
1786472289828430000,54402898
1786472290859348500,55432563
1786472291868561500,56442328
1786472292918396500,57502466
1786472293902486500,58471960
1786472294883272000,59452168
1786472295898573500,60473159
1786472296908297000,61482415
1786472297909054500,62482502
1786472298938295500,63512806
1786472299959813500,64542228
1786472300988400000,65563530
1786472302008585500,66592085
1786472303041105500,67614707
1786472304063705000,68632861
1786472305072726000,69643611
1786472306099373500,70682512
1786472307184010000,71762513
1786472308209396000,72783563
1786472309222756500,73802326
1786472310218167500,74793540
1786472311255195000,75832863
1786472312254078500,76864621
1786472313253543000,77832309
1786472314339455000,78913543
1786472315369114000,79943180
1786472316405757500,80972657
1786472317455802500,82032291
1786472318478363000,83051891
1786472319483430000,84062465
1786472320504312500,85072531
1786472321558355500,86142336
1786472322567967000,87132580
1786472323619724500,88193528
1786472324655459000,89233397
1786472325695055000,90273199
1786472326750417500,91323144
1786472327774739000,92352546
1786472328847842500,93412615
