# host_unix_ns,fpga_counter_us
1785778124418700000,169772
1785778125522858000,1307298
1785778126488971500,2234525
1785778127420150500,3168858
1785778128474826000,4244614
1785778129464807500,5229081
1785778130427286000,6165996
1785778131511394000,7273868
1785778132452342500,8195215
1785778133408085000,9143907
1785778134432791500,10184184
1785778135480245500,11224529
1785778136446961000,12194188
1785778137477232500,13223965
1785778138422767000,14174726
1785778139486203500,15204496
1785778140438201000,16184308
1785778141458368000,17204539
1785778142469305000,18214247
1785778143506320000,19244809
1785778144464898500,20203929
1785778145496987500,21245614
1785778146439532500,22183957
1785778147712397500,23454182
1785778148461662000,24213969
1785778149488489000,25233919
1785778150427790500,26174434
1785778151486145500,27235478
1785778152469001500,28217143
1785778153486835000,29233900
1785778154441733500,30185601
1785778155486925500,31234821
1785778156434638000,32203680
1785778157447860000,33194008
1785778158474759500,34228525
1785778159438516000,35200175
1785778160417968500,36174177
1785778161448502500,37204669
1785778162580205000,38274189
1785778163590247500,39317374
1785778164497717500,40275659
1785778165502693500,41245938
1785778166737362500,42611795
1785778167572131000,43274051
1785778168606872000,44292569
1785778169558481500,45213872
1785778170572725000,46334243
1785778171586225000,47338647
1785778172645218500,48389184
1785778173478017500,49241877
1785778174512839000,50184723
1785778175641985500,51234586
1785778176478167500,52187038
1785778177527867500,53234441
1785778178575525000,54284588
1785778179549363000,55255001
1785778180598344500,56335253
1785778181646038000,57356946
1785778182553802000,58235693
1785778183566739000,59274966
1785778702959030500,158063
1785778703986540500,1197431
1785778704982098500,2188584
1785778706192582500,3228019
1785778707247254000,4368285
1785778787219419000,166902
1785778788265891000,1211772
1785778789295695000,2240087
1785778790242971000,3170076
1785778791260365500,4209896
1785778851710995500,335511
1785778852874611500,1610833
1785778853895548500,2605328
1785778854585230500,3240068
1785778855539730000,4202356
1785779242670337500,150122
1785779243753322000,1219770
1785779244758477500,2229861
1785779245758110000,3229792
1785779246678823500,4160393
1785779603438228000,160049
1785779604468543000,1182636
1785779605544084500,2226050
1785779606510216500,3210285
1785779607517140500,4229422
1785779644447991000,159678
1785779645470645000,1179905
1785779646517348500,2231987
1785779647455533000,3159908
1785779648475149500,4190006
1785779723297306000,171838
1785779724321991000,1189628
1785779725373095500,2239515
1785779726312236000,3179947
1785779727351741000,4238395
1785779746168797500,157659
1785779747206000000,1199057
1785779748237512000,2226939
1785779749237520000,3236314
1785779750247030000,4236583
1785779994679712500,160046
1785779995707100000,1179950
1785779996722230000,2201427
1785779997747380000,3230360
1785779998684755000,4160084
1785780030555258500,159727
1785780031572876500,1168550
1785780032592119000,2198297
1785780033633822500,3228378
1785780034577518500,4158822
1785780050959491000,170101
1785780051997020000,1219793
1785780053016396500,2230921
1785780054017801000,3229767
1785780055027396000,4239387
1785780247950006000,193612
1785780249350449500,1589978
1785780250583414500,2659394
1785780251592714000,3758227
1785780252305736500,4531827
1785780304010199000,179981
1785780305034943000,1170670
1785780306058793500,2210007
1785780307094852000,3242472
1785780308025019500,4170012
1785780336645370500,161626
1785780337643879500,1150101
1785780338643084500,2150034
1785780339729294500,3240009
1785780340789647500,4269813
1785780538157445000,159290
1785780539200799500,1190467
1785780540229592000,2219161
1785780541164550500,3159396
1785780542199946000,4179036
1785780567301443500,150909
1785780568300617500,1153290
1785780569394673500,2240194
1785780570324484500,3171963
1785780571314770000,4159757
1785780900538960000,160382
1785780901546815500,1159667
1785780902551838000,2169973
1785780903561208500,3179676
1785780904562396500,4179123
1785780951523549500,139900
1785780952536163500,1170422
1785780953568325500,2190151
1785780954617143000,3230819
1785780955599190000,4271420
1785782143183544500,157298
1785782144202127500,1167481
1785782145212079000,2167281
1785782146258578500,3206949
1785782147312511000,4267193
1785782163022623000,160335
1785782164063162000,1200798
1785782165088007000,2230076
1785782166025849500,3160045
1785782167054819500,4180017
